barcode,name,calories,protein,fat,carbs,brand,weight
2850972000000,"Цибуля",44,1.7,0,10.5,"без тм",""
2850029000000,"Банан",90,1.5,0,21.8,"без тм",""
2851109000000,"Яблуко Гала 60+",45,0.4,0.4,11.8,"без тм",""
2880212000000,"Гомілка куряча охолоджена",172,31,30.6,0,"Майстри Смаку",""
4823019010893,"Рушники паперові Ніжний дотик двошарові 130 листів",0,0,0,0,"Ніжний дотик",""
4823077608513,"Цукерки Roshen Корівка 205г",375,2.8,4.1,81.5,"Roshen","205"
4820146820111,"Хумус Yofi! Класичний 250г",259,7.4,19.6,13.3,"YOFI!","250"
4820207591066,"Туалетний папір вологий Naturelle Ромашка 50шт",0,0,0,0,"Naturelle",""
2880240000000,"Цукерки Roshen Galaretka",372,1.1,6.7,75.8,"Roshen",""
4820001316384,"Кетчуп ТОРЧИН® Лагідний 380г",92,1.4,0.2,20.4,"Торчин","380"
4820084260758,"Рушники паперові Marka Promo двошарові 2 рулони",0,0,0,0,"Marka Promo",""
4823077621642,"Вафлі Roshen Wafers шоколад 72г",506,6.6,26.4,58.1,"Roshen","72"
4820269142527,"Корм вологий Club 4 Paws Premium з куркою для котів 85г",83,0,0,0,"Club 4 Paws","85"
2851005000000,"Цукерки Roshen Jelly",327,0,0,82.2,"Roshen",""
4823077633508,"Батончик вафельний Roshen Roshetto Dark в шоколадній глазурі 34г",517,5.2,27.6,60.2,"Roshen","34"
4820193580389,"Рушники паперові Альбатрос  зелені 160шт",0,0,0,0,"Альбатрос",""
5903154540659,"Шпинат Рудь подрібнений швидкозаморожений 400г",21,2.1,0.5,0.9,"Рудь","400"
4820084260819,"Туалетний папір Marka Promo 2-шаровий 4шт",0,0,0,0,"Marka Promo",""
4820084260741,"Серветки Marka Promo паперові 100шт 23x24см",0,0,0,0,"Marka Promo",""
2871555000000,"Карамель Roshen Coffee Like",415,2.2,8.4,82.7,"Roshen",""
4607180660817,"Кілька Аквамарин у томатному соусі нерозібрана 230г",136,12,8,4,"Аквамарин","230"
4823116835146,"Шинка Рулет з філе курки Наша Ряба копчено-варена вищий сорт 500г",93,17,1.2,3.6,"Наша Ряба","500"
4046723022017,"Відбілювач Ms.Helen кисневий 1кг",0,0,0,0,"Ms Helen","1000"
4823077633515,"Батончик вафельний Roshen Roshetto Milk в шоколадній глазурі 34г",530,4.9,28.9,61.5,"Roshen","34"
4823077602863,"Цукерки Roshen Шалена бджілка Фрутті  200г",319,0,0.2,79.7,"Roshen","200"
4823077636004,"Печиво Roshen Lovita здобне з желейною начинкою зі смаком какао-вишня 135г",389,3.7,12.1,67.6,"Roshen","135"
4260637720245,"Гель для прання Wash&Free універсальний 5кг",0,0,0,0,"Wash&Free","5000"
4820003485972,"Вершки Бурьонка рідкі ультрапастеризовані 20% 200г",206,2.8,20,3.7,"Бурьонка","200"
4820196523536,"Пельмені Рудь Ескімос 800г",231.1,10.3,9.1,26.9,"Рудь","800"
4820001312232,"Заправка ТОРЧИН® томатна з болгарським перцем 220г",82,1.8,0.8,15.1,"Торчин","240"
4820180816125,"Печиво Biscotti Тутті-фрутті 355г",479,8.5,21.4,63.2,"Biscotti","355"
4820226000075,"Тунець Premium Tuna шматочки філе у власному соку 185г",87,21,0.3,0,"Parker&Simpson","185"
4823077613111,"Шоколад чорний Roshen пористий 80г",538,5.3,33.4,50,"Roshen","80"
4820049384246,"Відбілювач O'Key кисневий для білих речей 1кг",0,0,0,0,"O'Key","1000"
4820096036396,"Засіб для прочищення труб Ref Krot гранульований 70г",0,0,0,0,"Ref","70"
4823077638824,"Шоколад молочний Roshen Lacmi Cool-Nut-Coconut з мигдалем та кокосом 280г",565,6,36,53.2,"Roshen","280"
4820222760454,"Йогурт Галичина Карпатський безлактозний 3% 280г",58,4.1,3,3.7,"Галичина","280"
5903154544558,"Суміш овочева Рудь Мексиканка для смаження 400г",52,2.5,0.5,9.4,"Рудь","400"
4820097811398,"Чай чорний Monomax Ceylon 1,5г*100шт",1,0,0,0,"мономах","150"
2871647000000,"Печиво Delicia Домашнє",480,6.6,20.2,67,"Delicia",""
4820029143931,"Продукт сирний Фета Good Milk Грецький салат м`який кремовий 50% 170г",215,8,19,3,"Good Milk","170"
8887290146616,"Напій кавовий MacCoffee Cappuccino Di Torino з солоною карамеллю 25г",430,4.6,10.1,48.7,"MacCoffee","25"
4823077621659,"Вафлі Roshen Wafers Горіх 72г",521,5.2,27.7,61.4,"Roshen","72"
4820017297042,"Сніданок сухий Злаково Пластівці кукурудзяні Медові глазуровані 300г",316,5.4,1.1,71.2,"Злаково","300"
4820255192406,"Корм вологий М'ясна Миска м'ясний мікс для котів 100г",85.5,0,0,0,"М'ясна миска","100"
4820214190443,"Засіб від молі Блискавка з ароматом лаванди",0,0,0,0,"BLYSKAVKA",""
2871648000000,"Пряник Delicia Ворзельський з декором заварний",388,4,10.2,68.9,"Delicia",""
4820226000082,"Тунець Polar Seafood шматочками в соняшникової олії 185г",160,21,15,0,"Polar Seafood","185"
4823077643347,"Шоколад чорний Roshen Nut Out з цілим мигдалем 90г",543,9.8,36.1,39.8,"Roshen","90"
4823077629518,"Шоколад молочний Roshen Lacmi з цілими лісовими горіхами і шоколадно-карамельною начинкою 295г",559,7,37.2,47.1,"Roshen","295"
4823077609084,"Печиво Roshen Multicake з молочно-кремовою начинкою 180г",490,4.8,21.6,68,"Roshen","180"
8002612000357,"Сир Sterilgarda Рікота 250г",134,10,9,3.2,"Sterilgarda","250"
4260637721273,"Засіб мийний Wash&Free для скла та дзеркал 500г",0,0,0,0,"Wash&Free","500"
4820017291873,"Палички кукурудзяні Золоте Зерно Молочні 200г",468,6.4,17,72.4,"Золоте Зерно","200"
4820255192376,"Корм вологий М'ясна Миска з яловичиною для котів 100г",88.6,0,0,0,"М'ясна миска","100"
4820006852061,"Сир Новгород-Сіверський Моцарелла Домашня 45% 155г",244,20.5,18,0,"Новгород-Сіверський","155"
5903154544497,"Суміш овочева Рудь Шеф-кухар Дитячий мікс швидкозаморожена 400г",33,1.7,0.2,4.3,"Рудь","400"
4824713343164,"Засіб для миття посуду Donat на основі харчової соди 1л",0,0,0,0,"Donat",""
8006530178297,"Пральний порошок Gala Аква-пудра Французький аромат 405г",0,0,0,0,"Gala","405"
4823012211020,"Печиво-Сендвіч Конті Супер Контік з ваніллю 100г",490,5,23,65,"Konti","90"
4820207591134,"Серветки вологі Naturelle для взуття 15шт",0,0,0,0,"Naturelle",""
4823077615191,"Шоколад білий Roshen пористий карамель 80г",557,7.6,33.7,55.5,"Roshen","80"
2858488000000,"Карамель Roshen Рачки",425,0,6.8,87.9,"Roshen",""
4823077615771,"Шоколад молочний Roshen пористий 80г",533,7.5,30.3,56,"Roshen","80"
4823077611940,"Цукерки Roshen Assortment Classic в чорному шоколаді 154г",532,5.1,33,50.3,"Roshen","154"
4823005308812,"Печиво-сендвіч Roshen Multicake цукрове з начинкою какао 180г",492,5,21.6,68.4,"Roshen","180"
4820017297066,"Сніданок сухий Злаково Пластівці кукурудзяні глазуровані 300г",336,9.4,1.3,77,"Злаково","300"
4820039806093,"Сир Комо Горіховий з волоським горіхом твердий 50% 185г",360,24,29,1.5,"Комо","185"
4823074613381,"Вареники Levada з капустою 400г",192,4.9,3.3,35.6,"Левада","400"
4822606961990,"Засіб для миття посуду Так Лимон 500мл",0,0,0,0,"Так",""
4820001316322,"Кетчуп ТОРЧИН® до Шашлику 380г",99,1.1,0.2,23,"Торчин","380"
